Req #	Category	Request	Published Preliminary Decision	Meeting Decision
17.061	Drug & Biol	"Request to revise existing HCPCS code A9588 which currently reads: ""fluciclovine 18F, diagnostic 1 mCi,"" to instead read: ""Fluciclovine F-18, diagnostic, per study dose"". Trade Name: Axumin."	"This request to revise A9588 has not been approved. The requested revision does not improve the code. Existing code A9588 ""Fluciclovine f-18, diagnostic, 1 millicurie"" adequately describes the product that is the subject of this request and is it available for assignment by insurers if they deem appropriate."	"This request to revise A9588 has not been approved. The requested revision does not improve the code. Existing code A9588 ""Fluciclovine f-18, diagnostic, 1 millicurie"" adequately describes the product that is the subject of this request and is it available for assignment by insurers if they deem appropriate."
17.062	Drug & Biol	"Request to establish for a new Level II HCPCS code to identify 0.5 mg lidocaine hydrochloride monohydrate powder, intradermal injection system, Trade Name: Zingo.

Applicant's suggested language, ""JXXXX, Injection, lidocaine HCl, 0.5 mg"".

 "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to separately identify the Zingo system. Zingo, if used, would be included in the procedure or in the supply allowance for the infusion pump. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to separately identify the Zingo system. Zingo, if used, would be included in the procedure or in the supply allowance for the infusion pump. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."
17.064	S & O	"Request to establish a series of 5 new Level II HCPCS codes to identify an oral electronic vision aid system and its components, Trade Name: BrainPort V100

Applicant's suggested languages:

Lxxx1 Vision Aid Prosthetic System, including intra-oral stimulation device, headset with integrated digital video camera, and patient controller.

Lxxx2 Headset with integrated digital video camera, for use with vision aid prosthetic system, replacement

Lxxx3 Intra-oral stimulation device, for the use with vision and prosthetic system, replacement

Lxxx4 Patient controller for use with vision aid prosthetic system, replacement

Lxxx5 Vision aid prosthetic system training services, individual, up to 10 hours
"	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."
17.065	O & P	"Request to establish a new Level II HCPCS code to identify an external foot brace and to consider the device an orthotic. Trade name: Shoebaum Short.

Applicant did not suggest coding language."	"This request to establish a new Level II HCPCS code to separately identify the Shoebaum Short has not been approved. Existing codes L4386 ""Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"" or L4387 ""Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated, off-the-shelf"" adequately describes the product, depending on whether the product is customized to fit or off-the-shelf. L4386 or L4387 are available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the Shoebaum Short has not been approved. Existing codes L4386 ""Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"" or L4387 ""Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated, off-the-shelf"" adequately describes the product, depending on whether the product is customized to fit or off-the-shelf. L4386 or L4387 are available for assignment by insurers if they deem appropriate."
17.066	S & O	"Request to assign existing Level II HCPCS code B4153 to an enteral formula, nutritionally complete, hydrolized protein, Trade Name: Ultrient. 

 "	"Existing code B4153 ""Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes Ultrient Ready-to-Feed 1.5 KCal/mL Peptide Formula and it is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used."	"Existing code B4153 ""Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes Ultrient Ready-to-Feed 1.5 KCal/mL Peptide Formula and it is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used."
17.067	Drug & Biol	"Request to establish a new level II HCPCS code to identify the Optiray Ultraject Prefilled Syringe with Radio Frequency Identification (RFID) technology.

Applicant's suggested language: AXXXX - Ioversol injection Radio Frequency Identification (RFID) pre-filled syringe.
"	"This request to establish a new Level II HCPCS code to separately identify the Optiray Ultraject Prefilled Syringe with Radio Frequency Identification (RFID) technology has not been approved. Existing code Q9967 ""Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml"" adequately describes Optiray 300, Optiray 320, and Optiray 350; and it is available for assignment by insurers if they deem appropriate. Separate reporting of the syringe for additional payment may be considered redundant and inappropriate."	"This request to establish a new Level II HCPCS code to separately identify the Optiray Ultraject Prefilled Syringe with Radio Frequency Identification (RFID) technology has not been approved. Existing code Q9967 ""Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml"" adequately describes Optiray 300, Optiray 320, and Optiray 350; and it is available for assignment by insurers if they deem appropriate. Separate reporting of the syringe for additional payment may be considered redundant and inappropriate."
17.068	S & O	"Request to establish a new Level II HCPCS code to identify a rechargeable lithium-ion battery for use with the portable pneumatic driver of the SynCardia Total Artificial Heart (TAH-t). Trade Name: Freedom Onboard Battery.

Applicant's suggested language: QXXXX: ""Battery (Li-Ion) for use with portable pneumatic biventricular driver, total artificial heart, each.""

 "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the lithium-ion battery for use with the SynCardia Total Artificial heart. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"This request to establish a new Level II HCPCS code to separately identify this product has not been approved. Reported sales volume is insufficient to support a request for a revision to the national code set. In accordance with HCPCS coding criteria as published on CMS’ HCPCS website, there must be sufficient claims activity or volume, as evidenced by 3 months of marketing activity, so that adding a new code enhances the efficiency of the system and justifies the administrative burden of adding the code."
17.069	S & O	"Request to establish a new Level II HCPCS code to identify a power spupply system for use with the Freedom portable driver of the Syncardia Total Artificial Heart (TAH-t). Trade Name: Freedom Home AC Power Supply System.

Applicant's suggested language: QXXXX: ""Power supply system for use with portable pneumatic biventricular total artificial heart.""

 "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the power supply system for use with a portable pneumatic biventricular total artificial heart. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"This request to establish a new Level II HCPCS code to separately identify this product has not been approved. Reported sales volume is insufficient to support a request for a revision to the national code set. In accordance with HCPCS coding criteria as published on CMS’ HCPCS website, there must be sufficient claims activity or volume, as evidenced by 3 months of marketing activity, so that adding a new code enhances the efficiency of the system and justifies the administrative burden of adding the code."
17.070	S & O	"Request to establish 5 new Level II HCPCS codes to identify supplies and accessories for the Freedom Portable Driver System that operates the SynCardia Total Artificial heart (TAH-t) for use outside the hospital.

Applicant's suggested language:

QXXX1 Miscellaneous supply or accessory for use with an implanted total artificial heart;

QXXX2 Miscellaneous supply or accessory for use with any implanted total artificial heart for which payment was not made under Medicare Part A

QXXX3 Filters for use with total artificial heart, replacement only.

QXXX4 Power adaptor for use with total artificial heart, vehicle type.

QXXX5 Backpack/bag for use with total artificial heart, replacement only."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the supplies and accessories for use with the Portable Driver System that operates the SynCardia Total Artificial Hearts that are the subject of this request."	"This request to establish a new Level II HCPCS code to separately identify this product has not been approved. Reported sales volume is insufficient to support a request for a revision to the national code set. In accordance with HCPCS coding criteria as published on CMS’ HCPCS website, there must be sufficient claims activity or volume, as evidenced by 3 months of marketing activity, so that adding a new code enhances the efficiency of the system and justifies the administrative burden of adding the code.

"
17.071	O & P	"Request to establish a new Level II HCPCS code to identify an external elbow brace, and to consider the device as an orthotic. Trade Name: ErgoBrace G1 EPA Post-op Elbow Brace Over Motion.

Applicant does not suggest coding language."	"1) Establish LXXXX, ""Elbow Orthosis (EO), with adjustable position locking joint(s), prefabricated, off-the-shelf"". 

2) Revise L3760, which currently reads, ""Elbow orthosis, with adjustable position locking joint(s), prefabricated, includes fitting and adjustments, any type"", to instead read, ""Elbow Orthosis (EO), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"".

New code LXXXX or revised code L3760 adequately describes the product that is the subject of this application, depending on whether it is custom fit."	"1) Establish L3761, ""Elbow Orthosis (EO), with adjustable position locking joint(s), prefabricated, off-the-shelf"". 2) Revise L3760, which currently reads, ""Elbow orthosis, with adjustable position locking joint(s), prefabricated, includes fitting and adjustments, any type"", to instead read, ""Elbow Orthosis (EO), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"".

Either new code L3761 or revised code L3760 adequately describes the ErgoBrace that is the subject of this application, depending on whether it is custom fit or off-the-shelf."
17.072	O & P	"Request to establish a new Level II HCPCS code to identify a foldable under-arm crutch with patented shock absorbers and telescopic tubing, and to consider the device an orthotic. Trade Name: ErgoBaum Dual.

Applicant does not suggest coding language."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."
17.073	O & P	"Request to establish a new Level II HCPCS code to identify an external knee brace and to consider the device an orthotic. Trade Name: ErgoBrace Post-Op Knee Brace.

Applicant does not suggest coding language."	"This request to establish a new Level II HCPCS code to separately identify the ErgoBrace Post-Op Knee Brace has not been approved. Existing code L1832 ""Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"" or L1833 ""Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf"", depending on whether it is custom fit on delivery or off-the-shelf, adequately describes product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the ErgoBrace Post-Op Knee Brace has not been approved. Existing code L1832 ""Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"" or L1833 ""Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf"", depending on whether it is custom fit on delivery or off-the-shelf, adequately describes product and is available for assignment by insurers if they deem appropriate."
17.074	O & P	"Request to establish a new Level II HCPCS code to identify an over-the-shoe universal height compensator and balancer, and to consider the device an orthotic. Trade Name: Level-Up, orthosis, corrective shoe.

Applicant does not suggest coding language.
"	"This request to establish a new Level II HCPCS codes to separately identify the Level-Up has not been approved. The item that is the subject of this request is not primarily medical in nature and, therefore, it is not suitable for coding within HCPCS."	"This request to establish a new Level II HCPCS codes to separately identify the Level-Up has not been approved. The item that is the subject of this request is not primarily medical in nature and, therefore, it is not suitable for coding within HCPCS."
17.075	O & P	"Request to revise existing Level II HCPCS code E0111 ""Crutch forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips"" to identify an ergonomic crutch with patented shock absorbers and telescopic tubing, and to consider the device an orthotic. Trade Name: ErgoBaum Royal and ErgoBaum Prince.

Applicant does not suggest coding language."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to revise existing code E0111 to identify the product that is the subject of this request. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."	"A national program operating need to establish a code for ErgoBaum Royal and ErgoBaum Prince devices was not identified by Medicare, Medicaid or the Private Insurance Sector. For coding guidance, contact the entity in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor. "
17.076	O & P	"Request to establish a new Level II HCPCS code to identify a commode chair, and to consider the device an orthotic Trade Name: Mobile Commode Chair.

Applicant does not suggest coding language."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."
17.077	S & O	"Request to establish a new Level II HCPCS code to identify the SynCardia Freedom portable driver used with the SynCardia Total Artificial Heart (TAH-t), Trade Name: Freedom Portable Driver

Applicant's suggested language: QXXXX ""Pneumatic biventricular driver, portable, total artificial heart.""

 "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the Portable driver used with the Syncardia Total Artificial Heart."	"This request to establish a new Level II HCPCS code to separately identify this product has not been approved. Reported sales volume is insufficient to support a request for a revision to the national code set. In accordance with HCPCS coding criteria as published on CMS’ HCPCS website, there must be sufficient claims activity or volume, as evidenced by 3 months of marketing activity, so that adding a new code enhances the efficiency of the system and justifies the administrative burden of adding the code."
17.078	DME	"Request to establish two new Level II HCPCS codes to identify a zero-lift transfer and mobility system, differentiated based on patient weight capacity up to, and above 300 lbs. . Trade Name: AgileLife and Mobility System.

Applicant' suggested language for first code: EXXXX ""Zero-lift patient transfer and mobility system, integrated electric bed, pressurized mattress, wheelchair, commode and docking station for bedridden patients, operated by caregiver with a touchscreen pad, patient weight capacity up to 300 lbs"".

Applicant's suggested language for second code: EXXXX ""zero-lift patient transfer and mobility system, integrated electric bed, GRZ air pressure distribution mattress, wheelchair, commode and docking station for bedridden patients, operated by caregiver with a touchscreen pad, patient weight capacity greater than 300 lbs"""	"This request to establish two new Level II HCPCS codes to separately identify the AgileLife Transfer and Mobility System has not been approved, because the request is for capital equipment. Capital equipment is not appropriate for inclusion in the HCPCS Level II code set."	"Existing codes E1035 ""Multi-positional patient transfer system, with integrated seat, operated by caregiver, patient weight capacity up to and including 300 lbs""or E1036 ""Multipositional patient transfer system, extra-wide, with integrated seat, operated by caregiver, patient weight capacity greater that 300 lbs"" adequately describes the device that is the subject of this request."
17.079	S & O	"Request to assign existing Level II HCPCS code B4150 ""Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories=1unit"" to a nutritional shake for medical malnutrition, Trade Name: ENU Complete Meal Replacement Powder Mix.

 

 "	"Existing code B4150 ""Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes the ENU Meal Replacement Powder Mix and it is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used."	"Existing code B4150 ""Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes the ENU Meal Replacement Powder Mix and it is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used."
17.081	S & O	"Request to establish a new Level II HCPCS code to identify an ostomy pouch fill alert sensor. Trade name: OSTOM-i Alert Sensor.

Applicant's suggested language: AXXXX ""OSTOM-i Alert Sensor for electronically monitoring pressure within ostomy/stoma bags. One unit per 3 months"".
"	"This request to establish a new Level II HCPCS code to separately identify Ostom-i Alert Sensor has not been approved. Existing code A9280 ""Alert or alarm device, not otherwise classified"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify Ostom-i Alert Sensor has not been approved. Existing code A9280 ""Alert or alarm device, not otherwise classified"" adequately describes this product and is available for assignment by insurers if they deem appropriate."
17.082	S & O	"Request to establish a new Level II HCPCS code to identify an automated uroflowmetry device, trade name: iUFlow device.

Applicant's suggested language: AXXXX ""Automated uroflowmetry device, includes software and accessories"".
"	"This request to establish a new Level II HCPCS code to separately identify the iUFlow device has not been approved, because this product is an integral part of a procedure and payments for that service includes payment for this uroflowmetry device if it is used."	"This request to establish a new Level II HCPCS code to separately identify the iUFlow device has not been approved, because this product is an integral part of a procedure and payments for that service includes payment for this uroflowmetry device if it is used."
17.083	Drug & Biol	"Request to revise existing Level II HCPCS code Q4166 which currently reads, ""Cytal, per square centimeter"", to instead read, ""Cytal 1-Layer/2-Layer/Burn, per square centimeter.""

 "	"This request to revise the descriptor of existing code Q4166 has not been approved. Existing code Q4166 ""Cytal, per square centimeter"" adequately describes the products that are the subject of this request, and it is available for assignment by insurers if they deem appropriate."	"This request to revise the descriptor of existing code Q4166 has not been approved. Existing code Q4166 ""Cytal, per square centimeter"" adequately describes the products that are the subject of this request, and it is available for assignment by insurers if they deem appropriate."
17.084	S & O	"Request to establish a new Level II HCPCS code to identify a digestive enzyme (immobilized lipase) packed cartridge, Trade Name: RELiZoRB.

Applicant's suggested language: ""BXXXX, ""RELiZORB, immobilized lipase cartridge.""

 "	"This request to establish a unique Level II HCPCS code to separately identify the RELiZORB (immobilized lipase) cartridge has not been approved. Existing codes B4034 ""Enteral feeding supply kit; syringe fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"", B4035 ""Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"", or B4036 ""Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"", depending of the type of feeding, adequately describes this product."	"This request to establish a unique Level II HCPCS code to separately identify the RELiZORB (immobilized lipase) cartridge has not been approved. The Relizorb cartidge is included in the enteral nutrition supply allowance for tube-feedings, at existing B4035 ""Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape""."
17.085	S & O	"Request to establish a new Level II HCPCS code to identify a mechanical reusable lancing device. Trade name: the Genteel Lancing Device.

Applicant's suggested language: ""A reusable vacuum assisted lancing device with depth control"".

 "	"This request to establish a new Level II HCPCS code to separately identify the Genteel Lancing Device has not been approved. Existing code A4258 ""Spring-powered device for lancet, each"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the Genteel Lancing Device has not been approved. Existing code A4258 ""Spring-powered device for lancet, each"" adequately describes this product and is available for assignment by insurers if they deem appropriate."
17.086	DME	"Request to establish a new Level II HCPCS code to identify an automated external basal insulin delivery system. Trade Name: MiniMed 670G.

Applicant's suggested language: ""automated basal insulin delivery system, external, insulin""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the product that is the subject of this request. Existing codes E0784 ""External ambulatory infusion pump, insulin"" and S1034 ""Artificial pancreas device system (e.g., low glucose suspend (lgs) feature) including continuous glucose monitor, blood glucose device, insulin pump and computer algorithm that communicates with all of the devices"", S1035 ""Sensor; invasive (e.g., subcutaneous), disposable, for use with artificial pancreas device system"", S1036 ""Transmitter; external, for use with artificial pancreas device system"", and S1037 ""Receiver (monitor); external, for use with artificial pancreas device system"" are available for assignment by insurers if they deem appropriate to identify this device or its components."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the product that is the subject of this request. Existing codes E0784 ""External ambulatory infusion pump, insulin"" and S1034 ""Artificial pancreas device system (e.g., low glucose suspend (lgs) feature) including continuous glucose monitor, blood glucose device, insulin pump and computer algorithm that communicates with all of the devices"", S1035 ""Sensor; invasive (e.g., subcutaneous), disposable, for use with artificial pancreas device system"", S1036 ""Transmitter; external, for use with artificial pancreas device system"", and S1037 ""Receiver (monitor); external, for use with artificial pancreas device system"" are available for assignment by insurers if they deem appropriate to identify this device or its components."
17.087	S & O	"Request to establish a new Level II HCPCS code to identify a software controlled, pulsatile pressure, off-loading boot and shin device for the treatment of lower limb wounds, Trade Name: PulseFlow DF

Applicant's suggested language: ""Software controlled, ambulatory limb salvage device with an internal pneumatic pump applying pulsatile pressure in the medical aspect of the foot within an off-loading boot and a shin device for the treatment of diabetic and non-diabetic lower limb wounds."""	"This request to establish a new Level II HCPCS code to separately identify the PulseFlowDF has not been approved. Existing code A9283 ""Foot pressure off loading/supportive device, any type, each"" plus A9279 ""Monitoring feature/device, stand-alone or integrated, any type, includes all accessories, components and electronics, not otherwise classified"" together adequately describes the product and is available for assignment by insurers if they deem appropriate."	"Existing code A9283 ""Foot pressure off loading/supportive device, any type, each"" plus A9279 ""Monitoring feature/device, stand-alone or integrated, any type, includes all accessories, components and electronics, not otherwise classified""; together, adequately describe the PulseFlowDF. These codes are available for assignment by insurers if they deem appropriate."
17.088	S & O	"Request to establish 2 new Level II HCPCS codes, one each to identify a blood pressure lowering device used to treat hypertension; and the belt kit with accessories. Trade Name: RESPeRATE.

Applicant's suggested language:

“Non-invasive respiratory modulation assist device (RESPeRATE), including respiratory effort belt, directing patient respiration rate, and patterns of inhalation and exhalation”

“Respiratory effort belt kit and accessories used with the non-invasive respiratory modulation assist device (RESPeRATE)”"	"This request to establish two new Level II HCPCS codes to identify the RESPeRATE device has not been approved, because this product is an integral part of a procedure and payments for that service includes payment for the RESPeRATE device if it is used."	"This request to establish two new Level II HCPCS codes to identify the RESPeRATE device has not been approved, because this product is an integral part of a procedure and payments for that service includes payment for the RESPeRATE device, if it is used."
17.089	DME	"Request to establish two new Level II HCPCS codes to identify a tremor-cancelling, micro-controlled motion stabilization device and starter kit, trade name: Liftware. 

Applicant's suggested language:

1) EXXXX ""Movement Stabilizing Adaptive Utensil Starter Kit (includes base, charger and utensil)"".

2) EXXXX ""Movement Stabilizing Adaptive Utensil, each additional""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS codes to identify the movement stabilizing adaptive utensil and starter kit. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS codes to identify the movement stabilizing adaptive utensil and starter kit. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."
17.090	DME	"Request to establish two new Level II HCPCS to identify: 1) a multi-hour long-duration therapeutic ultrasound device; and 2) a supply of single-use coupling patches. Trade names: Sustained Acoustic Medicine (SAM), SAM Sport, SAM Professional.

Applicant did not suggest coding language."	This request to establish two new Level II HCPCS codes to separately identify the SAM multi-hour long-duration therapeutic ultrasound device and a supply of single-use coupling patches has not been approved. These products are an integral part of a procedure and payments for that service includes payment for the ultrasound device and coupling patches if used. The reporting and use of additional codes could be considered duplicative.	This request to establish two new Level II HCPCS codes to separately identify the SAM multi-hour long-duration therapeutic ultrasound device and a supply of single-use coupling patches has not been approved. This device is FDA cleared for use only when administered and monitored by a healthcare practitioner. The products that are the subject of this application are an integral part of a procedure and payment for that service includes payment for the ultrasound device and coupling patches if used. Reporting using additional codes could be considered duplicative and inappropriate.
17.091	S & O	"Request to revise existing Level II HCPCS code P9072, which currently reads, “Platelets, pheresis, pathogen reduced or rapid bacterial tested, each unit,” to instead read, “Platelets, pheresis, pathogen reduced, each unit”.

 "	"1) Existing code P9072 ""Platelets, pheresis, pathogen reduced or rapid bacterial tested, each unit"" made not billable to Medicare. Effective 7/1/17.

2) Newly established code Q9988 ""Platelets, Pheresis, Pathogen-Reduced, each unit"", effective 7/1/17, adequately describes pathogen reduced apheresis platelets.

3) Discontinue code P9072. Effective 12/31/17.

4) Discontinue code Q9988. Effective 12/31/17.

5) Establish new code PXXXX to replace Q9988 using the same language. 

6) Establish Q9987 ""Pathogen(s) Test for Platelets"". Effective 7/1/17.

7) Discontinue code Q9987. Effective 12/31/17.

8) Establish new code XXXXX to replace Q9987 using the same language. Effective 1/1/17."	"1)  Existing code P9072 ""Platelets, pheresis, pathogen reduced or rapid bacterial tested, each unit"" made not billable to Medicare. Effective 7/1/17.

2)  Newly established code Q9988 ""Platelets, Pheresis, Pathogen-Reduced, each unit"", effective 7/1/17, adequately describes pathogen reduced apheresis platelets.

3)  Discontinue code P9072. Effective 12/31/17.

4)  Discontinue code Q9988. Effective 12/31/17.

5)  Establish new code P9073 to replace Q9988 using the same language. 

6)  Establish Q9987 ""Pathogen(s) Test for Platelets"". Effective 7/1/17.

7)  Discontinue code Q9987. Effective 12/31/17.

8)  Establish new code P9100 to replace Q9987 using the same language. "
17.092	O & P	"Request to establish a new Level II HCPCS code to identify the Power Module Patient Cable for the use with a Left Ventricular Assist Device (LVAD). Trade Name: HeartMate Power Module Patient Cable.
"	"Establish QXXXX, ""Power module patient cable for use with electric or electric/pneumatic ventricular assist device, replacement only"". "	"Establish Q0477, ""Power module patient cable for use with electric or electric/pneumatic ventricular assist device, replacement only"". "
17.093	S & O	"Request to establish a new Level II HCPCS code to identify a high-precision weight monitoring scale with cellular transmission capability to health care entities. Trade Name: BodyTrace BT004.

 "	"1) Existing code E1639 ""Scale, each"" adequately describes the scale that is the subject of this request and it is available for assignment by insurers if they deem appropriate.

2) Revise the short descriptor of existing code E1639, which currently reads, ""Dialysis scale"", to instead read, ""scale, each"" (removing the word ""dialysis"")."	"1) Existing code E1639 ""Scale, each"" adequately describes the scale that is the subject of this request and it is available for assignment by insurers if they deem appropriate.

2) Revise the short descriptor of existing code E1639, which currently reads, ""Dialysis scale"", to instead read, ""scale, each"" (removing the word ""dialysis"")."
